Condition,google_product_category,store_code,vehicle_fulfillment(option:store_code),Brand,Model,Year,Color,Mileage,Price,VIN,image_link,link_template
Used,123,xpremium,in_store:premium,CHEVROLET,TRAVERSE,2019,White,73061,19900,1GNERKKW1KJ106115,https://premiumcarsfl.com/wp-content/uploads/2023/09/CHEVROLETTRAVERSE2019-106115-.jpg,https://premiumcarsfl.com/listing/2019-chevrolet-traverse-premier-4dr-suv/?store=xpremium
Used,123,xpremium,in_store:premium,CHEVROLET,EQUINOX,2020,Blue,67920,16900,2GNAXJEV5L6204130,https://premiumcarsfl.com/wp-content/uploads/2023/09/3-3.jpg,https://premiumcarsfl.com/listing/2020-chevrolet-equinox-lt-sport-utility-4d/?store=xpremium
Used,123,xpremium,in_store:premium,CHEVROLET,EQUINOX,2019,White,77207,14900,3GNAXKEV7KS553554,https://premiumcarsfl.com/wp-content/uploads/2023/09/2-1.jpg,https://premiumcarsfl.com/listing/2019-chevrolet-equinox-lt-4dr-suv/?store=xpremium
Used,123,xpremium,in_store:premium,CHEVROLET,BLAZER,2020,Silver,58394,13200,3GNCJKSB0LL200492,https://premiumcarsfl.com/wp-content/uploads/2023/09/CHEVROLETTRAX2020-200492-3.jpg,https://premiumcarsfl.com/listing/2020-chevrolet-trax-ls-4dr-crossover/?store=xpremium
Used,123,xpremium,in_store:premium,TOYOTA,COROLLA,2022,Blue,17166,16900,5YFS4MCE8NP118936,https://premiumcarsfl.com/wp-content/uploads/2023/09/TOYOTACOROLLA2022-118936-02.jpg,https://premiumcarsfl.com/listing/2022-toyota-corolla-se-4dr-sedan/?store=xpremium
Used,123,xpremium,in_store:premium,TOYOTA,COROLLA,2018,Gray,73334,11900,2T1BURHE8JC971997,https://premiumcarsfl.com/wp-content/uploads/2023/09/V02.jpg,https://premiumcarsfl.com/listing/2018-toyota-corolla-le-4dr-sedan/?store=xpremium
Used,123,xpremium,in_store:premium,TOYOTA,COROLLA,2021,Blue,32462,17900,JTDEPMAE9MJ168111,https://premiumcarsfl.com/wp-content/uploads/2023/09/TOYOTACOROLLA2021-168111-02.jpg,https://premiumcarsfl.com/listing/2021-toyota-corolla-le-4dr-sedan/?store=xpremium
Used,123,xpremium,in_store:premium,NISSAN,SENTRA,2021,Orange,30137,16900,3N1AB8DV1MY319506,https://premiumcarsfl.com/wp-content/uploads/2023/09/NISSANSENTRA2021-319506-02.jpg,https://premiumcarsfl.com/listing/2021-nissan-sentra-sr-4dr-sedan/?store=xpremium
Used,123,xpremium,in_store:premium,NISSAN,ALTIMA,2021,White,54632,18900,1N4BL4CW6MN314175,https://premiumcarsfl.com/wp-content/uploads/2023/09/NISSANALTIMA2021-314175-02.jpg,https://premiumcarsfl.com/listing/2021-nissan-altima-2-5-sr-awd-4dr-sedan/?store=xpremium
Used,123,xpremium,in_store:premium,AUDI,,2016,Black,106895,18900,JTJYARBZ1G2030989,https://premiumcarsfl.com/wp-content/uploads/2023/09/LEXUSXNX2016-30989-02.jpg,https://premiumcarsfl.com/listing/2016-lexus-nx-200t-base-4dr-crossover/?store=xpremium
Used,123,xpremium,in_store:premium,KIA,FORTE,2016,Red,121412,7995,5XYPH4A53GG006369,https://premiumcarsfl.com/wp-content/uploads/2023/09/KIASORENTO2016-006369-02.jpg,https://premiumcarsfl.com/listing/2016-kia-sorento-ex-v6-4dr-suv/?store=xpremium
Used,123,xpremium,in_store:premium,HYUNDAI,ACCENT,2022,White,3857,16400,3KPC24A69NE160622,https://premiumcarsfl.com/wp-content/uploads/2023/09/2022-hyundai-accent-se-4dr-sedan.jpg,https://premiumcarsfl.com/listing/2022-hyundai-accent-se-4dr-sedan/?store=xpremium
Used,123,xpremium,in_store:premium,HYUNDAI,ACCENT,2019,Silver,62776,11900,3KPC24A31KE047765,https://premiumcarsfl.com/wp-content/uploads/2023/09/HYUNDAIACCENT2019-P047765-2.jpg,https://premiumcarsfl.com/listing/2019-hyundai-accent-se-4dr-sedan-6a/?store=xpremium
Used,123,xpremium,in_store:premium,HYUNDAI,ELANTRA,2020,Red,43065,15900,5NPD84LF2LH566198,https://premiumcarsfl.com/wp-content/uploads/2023/09/HYUNDAIELANTRA2020-P566198-2.jpg,https://premiumcarsfl.com/listing/2020-hyundai-elantra-sel-4dr-sedan-2/?store=xpremium
Used,123,xpremium,in_store:premium,HYUNDAI,ACCENT,2020,Gray,4745,14900,3KPC24A64LE118291,https://premiumcarsfl.com/wp-content/uploads/2023/09/HYUNDAIACCENT20202-P118291-2.jpg,https://premiumcarsfl.com/listing/2020-hyundai-accent-se-4dr-sedan-cvt/?store=xpremium
Used,123,xpremium,in_store:premium,HONDA,ACCORD,2017,Gray,73687,15200,SHHFK7G2XHU207494,https://premiumcarsfl.com/wp-content/uploads/2023/09/HONDACIVIC2017-P207494-2.jpg,https://premiumcarsfl.com/listing/2017-honda-civic-lx-4dr-hatchback-6m/?store=xpremium
Used,123,xpremium,in_store:premium,FORD,EXPLORER,2017,Black,109375,11900,1FM5K7D88HGA99996,https://premiumcarsfl.com/wp-content/uploads/2023/09/2-9.jpg,https://premiumcarsfl.com/listing/2017-ford-explorer-xlt-4dr-suv/?store=xpremium
Used,123,xpremium,in_store:premium,FORD,EDGE,2018,,118338,11900,2FMPK3J98JBC18657,https://premiumcarsfl.com/wp-content/uploads/2023/09/FORDEDGE2018-PC18657-2.jpg,https://premiumcarsfl.com/listing/2018-ford-edge-sel-4dr-crossover/?store=xpremium
Used,123,xpremium,in_store:premium,FORD,F150,2020,Gray,23556,25900,1FTEW1E4XLKF31463,https://premiumcarsfl.com/wp-content/uploads/2023/09/FORDF150XLT4X4-REB31463-2.jpg,https://premiumcarsfl.com/listing/2020-ford-f-150-xlt-4x4-4dr-supercrew/?store=xpremium
Used,123,xpremium,in_store:premium,DODGE,CHARGER,2016,Black,134134,11995,2C3CDXBG5GH110038,https://premiumcarsfl.com/wp-content/uploads/2023/09/DODGECHARGER2016-110038-2.jpg,https://premiumcarsfl.com/listing/2016-dodge-charger-se-4dr-sedan/?store=xpremium
Used,123,xpremium,in_store:premium,FORD,F150,2018,White,22106,17900,NM0LS7E70J1365809,https://premiumcarsfl.com/wp-content/uploads/2023/09/2-6.jpg,https://premiumcarsfl.com/listing/2018-ford-transit-connect-xl-4dr-lwb-cargo-mini-van-w-rear-doors/?store=xpremium
Used,123,xpremium,in_store:premium,FORD,F150,2017,White,119168,12900,NM0GS9E74H1307662,https://premiumcarsfl.com/wp-content/uploads/2023/09/FORDTRANSITCONNECT2017-P307662-3.jpg,https://premiumcarsfl.com/listing/2017-ford-transit-connect-xl-4dr-lwb-mini-van-w-rear-cargo-doors/?store=xpremium
Used,123,xpremium,in_store:premium,DODGE,JOURNEY,2019,Gray,70300,14900,3C4PDDGG0KT708297,https://premiumcarsfl.com/wp-content/uploads/2023/09/3-5.jpg,https://premiumcarsfl.com/listing/2019-dodge-journey-crossroad-awd-4dr-suv/?store=xpremium
Used,123,xpremium,in_store:premium,NISSAN,VERSA,2021,Gray,33244,13900,3N1CN8EV1ML865556,https://premiumcarsfl.com/wp-content/uploads/2023/09/NISSANVERSA2021-P865556-2.jpg,https://premiumcarsfl.com/listing/7131/?store=xpremium
Used,123,xpremium,in_store:premium,MITSUBISHI,"OUTLANDER SPORT",2018,Blue,158223,8900,JA4AP3AU7JU024447,https://premiumcarsfl.com/wp-content/uploads/2023/09/MITSUBISHIOUTLANDER2018-P024447-2.jpg,https://premiumcarsfl.com/listing/2018-mitsubishi-outlander-sport-es-4dr-crossover-5m/?store=xpremium
Used,123,xpremium,in_store:premium,MAZDA,CX-5,2019,Black,82293,15900,JM3KFACM5K0546539,https://premiumcarsfl.com/wp-content/uploads/2023/09/MAZDACX52019-P546539-2.jpg,https://premiumcarsfl.com/listing/2019-mazda-cx-5-touring-4dr-suv-2/?store=xpremium
Used,123,xpremium,in_store:premium,KIA,FORTE,2021,Silver,65266,14900,3KPF24AD9ME291351,https://premiumcarsfl.com/wp-content/uploads/2023/09/KIAFORTE2012-P291351-2.jpg,https://premiumcarsfl.com/listing/2021-kia-forte-lxs-4dr-sedan/?store=xpremium
Used,123,xpremium,in_store:premium,KIA,FORTE,2022,Gray,11472,17900,3KPF24AD4NE483553,https://premiumcarsfl.com/wp-content/uploads/2023/09/KIAFORTE2022-P483553-2.jpg,https://premiumcarsfl.com/listing/2022-kia-forte-lxs-4dr-sedan/?store=xpremium
Used,123,xpremium,in_store:premium,JEEP,CHEROKEE,2016,Black,117161,8900,1C4PJLAB2GW136442,https://premiumcarsfl.com/wp-content/uploads/2023/09/JEEPCHEROKEE2016-P136442-2.jpg,https://premiumcarsfl.com/listing/2016-jeep-cherokee-sport-4dr-suv/?store=xpremium
Used,123,xpremium,in_store:premium,JEEP,CHEROKEE,2017,Gray,52050,12900,1C4PJLAB6HW654734,https://premiumcarsfl.com/wp-content/uploads/2023/09/JEEPCHEROKEE2017-P654734-2.jpg,https://premiumcarsfl.com/listing/2017-jeep-cherokee-sport-altitude-4dr-suv/?store=xpremium
Used,123,xpremium,in_store:premium,JEEP,COMPASS,2021,Black,39722,17700,3C4NJCBB2MT581027,https://premiumcarsfl.com/wp-content/uploads/2023/09/JEEPCOMPASS2021-P581027-2.jpg,https://premiumcarsfl.com/listing/2021-jeep-compass-altitude-4dr-suv/?store=xpremium
Used,123,xpremium,in_store:premium,HYUNDAI,ACCENT,2017,Red,77479,12900,KM8SM4HF3HU169409,https://premiumcarsfl.com/wp-content/uploads/2023/09/HYUNDAISANTAFE2019-P169409-2.jpg,https://premiumcarsfl.com/listing/2017-hyundai-santa-fe-se-4dr-suv/?store=xpremium
Used,123,xpremium,in_store:premium,HYUNDAI,ACCENT,2019,Gray,42461,17995,5NMS23AD0KH091411,https://premiumcarsfl.com/wp-content/uploads/2023/09/HYUNDAISANTAFE2019-REB091411-2.jpg,https://premiumcarsfl.com/listing/2019-hyundai-santa-fe-se-2-4l-4dr-crossover/?store=xpremium
Used,123,xpremium,in_store:premium,HYUNDAI,ELANTRA,2021,Black,40570,16900,5NPLL4AG7MH040673,https://premiumcarsfl.com/wp-content/uploads/2023/09/HYUNDAIELANTRA2021-P040673-2.jpg,https://premiumcarsfl.com/listing/2021-hyundai-elantra-se-4dr-sedan/?store=xpremium
Used,123,xpremium,in_store:premium,HYUNDAI,ELANTRA,2020,White,56986,14900,5NPD84LF8LH630311,https://premiumcarsfl.com/wp-content/uploads/2023/09/2020-hyundai-elantra-sel-4dr-sedan.jpg,https://premiumcarsfl.com/listing/2020-hyundai-elantra-sel-4dr-sedan-3/?store=xpremium
Used,123,xpremium,in_store:premium,TOYOTA,COROLLA,2021,White,57523,16900,5YFEPMAE3MP244241,https://premiumcarsfl.com/wp-content/uploads/2023/10/5YFEPMAE3MP244241-02.jpg,https://premiumcarsfl.com/listing/2021-toyota-corolla-le-4dr-sedan-2/?store=xpremium
Used,123,xpremium,in_store:premium,VOLKSWAGEN,JETTA,2019,Silver,101096,10900,3VWC57BU9KM220662,https://premiumcarsfl.com/wp-content/uploads/2023/09/VOLKSWAGENJETTA2019-P220662-2.jpg,https://premiumcarsfl.com/listing/2019-volkswagen-jetta-se-4dr-sedan-2/?store=xpremium
Used,123,xpremium,in_store:premium,TOYOTA,CAMRY,2017,Gray,75113,12900,4T1BF1FK3HU660426,https://premiumcarsfl.com/wp-content/uploads/2023/09/TOYOTACAMRY2017-REB660426-2.jpg,https://premiumcarsfl.com/listing/2017-toyota-camry-le-4dr-sedan/?store=xpremium
Used,123,xpremium,in_store:premium,NISSAN,"ROGUE SPORT",2019,Gray,117497,11900,JN1BJ1CP3KW232230,https://premiumcarsfl.com/wp-content/uploads/2023/09/V2.jpg,https://premiumcarsfl.com/listing/2019-nissan-rogue-sport-4dr-crossover/?store=xpremium
Used,123,xpremium,in_store:premium,NISSAN,SENTRA,2020,Silver,34679,13900,3N1AB8CVXLY289745,https://premiumcarsfl.com/wp-content/uploads/2023/09/NISSANSENTRA2020-REB289745-2.jpg,https://premiumcarsfl.com/listing/2020-nissan-sentra-sv-4dr-sedan/?store=xpremium
Used,123,xpremium,in_store:premium,NISSAN,"ROGUE SPORT",2017,Gray,134759,10900,JN1BJ1CR0HW119345,https://premiumcarsfl.com/wp-content/uploads/2023/09/NISSANROGUESPORT2017-P119345-2.jpg,https://premiumcarsfl.com/listing/2017-nissan-rogue-sport-sl-awd-4dr-crossover/?store=xpremium
Used,123,xpremium,in_store:premium,NISSAN,KICKS,2020,Blue,72379,14900,3N1CP5CV6LL500221,https://premiumcarsfl.com/wp-content/uploads/2023/09/NISSANKICKS2020-3N1CP5CV6LL500221-2.jpg,https://premiumcarsfl.com/listing/2020-nissan-kicks-sv-4dr-crossover/?store=xpremium
Used,123,xpremium,in_store:premium,NISSAN,VERSA,2022,Silver,13830,14900,3N1CN8EV0NL833778,https://premiumcarsfl.com/wp-content/uploads/2023/09/NISSANVERSA2022-P833778-2.jpg,https://premiumcarsfl.com/listing/2022-nissan-versa-sv-4dr-sedan/?store=xpremium
Used,123,xpremium,in_store:premium,NISSAN,VERSA,2020,Silver,34008,14900,3N1CN8DV4LL913468,https://premiumcarsfl.com/wp-content/uploads/2023/09/NISSANVERSA2021-REB134681-2.jpg,https://premiumcarsfl.com/listing/2020-nissan-versa-s-4dr-sedan-cvt/?store=xpremium
Used,123,xpremium,in_store:premium,NISSAN,VERSA,2021,Silver,32843,14900,3N1CN8DV4ML818135,https://premiumcarsfl.com/wp-content/uploads/2023/09/2-12.jpg,https://premiumcarsfl.com/listing/2021-nissan-versa-s-4dr-sedan-cvt/?store=xpremium
Used,123,xpremium,in_store:premium,NISSAN,ALTIMA,2020,Silver,9607,17900,1N4BL4DV0LC274675,https://premiumcarsfl.com/wp-content/uploads/2023/09/1N4BL4DV0LC274675-02.jpg,https://premiumcarsfl.com/listing/2020-nissan-altima-2-5-sv-4dr-sedan/?store=xpremium
Used,123,xpremium,in_store:premium,NISSAN,VERSA,2021,Gray,51976,14900,3N1CN8EV3ML863405,https://premiumcarsfl.com/wp-content/uploads/2023/09/NISSANVERSA2021-P863405-2.jpg,https://premiumcarsfl.com/listing/2021-nissan-versa-sv-4dr-sedan/?store=xpremium
Used,123,xpremium,in_store:premium,RAM,,2016,White,152696,13900,1C6RR7GG8GS228424,https://premiumcarsfl.com/wp-content/uploads/2023/10/RAM1500-1026-P228424-02.jpg,https://premiumcarsfl.com/listing/2016-ram-1500-slt-4x4-4dr-quad-cab-6-3-ft-sb-pickup/?store=xpremium
Used,123,xpremium,in_store:premium,RAM,1500,2018,White,161625,19900,3C6UR5HJ7JG284278,https://premiumcarsfl.com/wp-content/uploads/2023/10/RAM2500-2018-P284278-02.jpg,https://premiumcarsfl.com/listing/2018-ram-2500-tradesman-4x4-4dr-crew-cab-8-ft-lb-pickup/?store=xpremium
Used,123,xpremium,in_store:premium,RAM,,2015,Red,119421,12995,3C6JR6AT5FG525198,https://premiumcarsfl.com/wp-content/uploads/2023/10/RAM1500-2015-P525198-02.jpg,https://premiumcarsfl.com/listing/2015-ram-1500-express-4x2-2dr-regular-cab-6-3-ft-sb-pickup/?store=xpremium
Used,123,xpremium,in_store:premium,FORD,EXPLORER,2016,White,73227,14995,1FM5K7DH5GGC64501,https://premiumcarsfl.com/wp-content/uploads/2023/10/FORDEXPLORER2016-PC64501-02.jpg,https://premiumcarsfl.com/listing/7953/?store=xpremium
Used,123,xpremium,in_store:premium,DODGE,JOURNEY,2015,Black,92498,6900,3C4PDCAB7FT738684,https://premiumcarsfl.com/wp-content/uploads/2023/10/DODGEJOURNEY2015-P738684-02.jpg,https://premiumcarsfl.com/listing/2015-dodge-journey-american-value-package-4dr-suv/?store=xpremium
Used,123,xpremium,in_store:premium,HYUNDAI,"SANTA FE",2017,Black,112082,14900,KM8SR4HFXHU166850,https://premiumcarsfl.com/wp-content/uploads/2023/10/JYUNDAISANTAFE-2017-P166850-02.jpg,https://premiumcarsfl.com/listing/2017-hyundai-santa-fe-limited-ultimate-sport-utility-4d/?store=xpremium
Used,123,xpremium,in_store:premium,FORD,F150,2016,White,149041,13900,1FTNF1CG1GKF06504,https://premiumcarsfl.com/wp-content/uploads/2023/10/FORDF150-2016-PF06504-02.jpg,https://premiumcarsfl.com/listing/2016-ford-f-150-xl-4x2-2dr-regular-cab-8-ft-lb/?store=xpremium
Used,123,xpremium,in_store:premium,FORD,F150,2018,Blue,100015,25900,1FTEW1EG7JFA16288,https://premiumcarsfl.com/wp-content/uploads/2023/10/1FTEW1EG7JFA16288-02.jpg,https://premiumcarsfl.com/listing/2018-ford-f-150-xlt-4x4-4dr-supercrew-5-5-ft-sb/?store=xpremium
Used,123,xpremium,in_store:premium,KIA,SORENTO,2018,Silver,129767,9900,5XYPG4A57JG395270,https://premiumcarsfl.com/wp-content/uploads/2023/10/KIASPRENTO2018-P395270-02.jpg,https://premiumcarsfl.com/listing/7679/?store=xpremium
Used,123,xpremium,in_store:premium,CHEVROLET,MALIBU,2016,Blue,113888,8900,1G1ZE5STXGF190841,https://premiumcarsfl.com/wp-content/uploads/2023/10/CHEVROLETMALIBU2016-P190841-02.jpg,https://premiumcarsfl.com/listing/2016-chevrolet-malibu-lt-4dr-sedan-w-1lt/?store=xpremium
Used,123,xpremium,in_store:premium,GMC,TERRAIN,2018,Black,72251,16900,3GKALMEV9JL139981,https://premiumcarsfl.com/wp-content/uploads/2023/10/GMCTERRAIN2018-P39981-02.jpg,https://premiumcarsfl.com/listing/2018-gmc-terrain-sle-4dr-suv/?store=xpremium
Used,123,xpremium,in_store:premium,AUDI,,2017,Red,95052,14900,WA1BCCFS8HR007743,https://premiumcarsfl.com/wp-content/uploads/2023/10/AUDIQ320017-P007743-02.jpg,https://premiumcarsfl.com/listing/2017-audi-q3-2-0t-premium-4dr-suv/?store=xpremium
Used,123,xpremium,in_store:premium,HYUNDAI,"SANTA FE",2008,Red,154011,3900,5NMSG13D88H149972,https://premiumcarsfl.com/wp-content/uploads/2023/10/2008HYUNDAISANTAFE-P149972-02.jpg,https://premiumcarsfl.com/listing/2008-hyundai-santa-fe-gls-sport-utility-4d/?store=xpremium
Used,123,xpremium,in_store:premium,MITSUBISHI,,2017,Red,42106,7900,ML32F3FJ8HHF05909,https://premiumcarsfl.com/wp-content/uploads/2023/10/2012MITSUBISHIMIRAGEG4-PF05909-02.jpg,https://premiumcarsfl.com/listing/2017-mitsubishi-mirage-g4-es-4dr-sedan/?store=xpremium
Used,123,xpremium,in_store:premium,KIA,RIO,2019,Black,120726,7900,3KPA24AB7KE186717,https://premiumcarsfl.com/wp-content/uploads/2023/10/3KPA24AB7KE186717-02.jpg,https://premiumcarsfl.com/listing/2019-kia-rio-lx-4dr-sedan/?store=xpremium
Used,123,xpremium,in_store:premium,CHEVROLET,CRUZE,2014,Silver,94988,6995,1G1PE5SB6E7311452,https://premiumcarsfl.com/wp-content/uploads/2023/10/1G1PE5SB6E7311452-02.jpg,https://premiumcarsfl.com/listing/2014-chevrolet-cruze-2lt-auto/?store=xpremium
Used,123,xpremium,in_store:premium,TOYOTA,COROLLA,2021,Red,64947,16900,5YFEPMAE9MP185762,https://premiumcarsfl.com/wp-content/uploads/2023/10/5YFEPMAE9MP185762-02.jpg,https://premiumcarsfl.com/listing/2021-toyota-corolla-le-4dr-sedan-3/?store=xpremium
Used,123,xpremium,in_store:premium,TOYOTA,4RUNNER,2013,Black,147791,17900,JTEZU5JR0D5050598,https://premiumcarsfl.com/wp-content/uploads/2023/10/JTEZU5JR0D5050598-02.jpg,https://premiumcarsfl.com/listing/8401/?store=xpremium
Used,123,xpremium,in_store:premium,HONDA,CIVIC,2020,White,44340,17900,2HGFC2F62LH546471,https://premiumcarsfl.com/wp-content/uploads/2023/10/2020HONDACIVIC-P546471-02.jpg,https://premiumcarsfl.com/listing/2020-honda-civic-lx-4dr-sedan-cvt/?store=xpremium
Used,123,xpremium,in_store:premium,HONDA,CIVIC,2020,White,46696,18900,2HGFC2F82LH578046,https://premiumcarsfl.com/wp-content/uploads/2023/10/2HGFC2F82LH578046-02.jpg,https://premiumcarsfl.com/listing/2020-honda-civic-sport-4dr-sedan-cvt-2/?store=xpremium
Used,123,xpremium,in_store:premium,FORD,ESCAPE,2013,White,115726,6900,1FMCU0GX5DUA80412,https://premiumcarsfl.com/wp-content/uploads/2023/10/FORDESCAPE2013-A80412-3.jpg,https://premiumcarsfl.com/listing/2013-ford-escape-se-4dr-suv/?store=xpremium
Used,123,xpremium,in_store:premium,KIA,FORTE,2016,Blue,101046,7995,KNDMB5C17G6151518,https://premiumcarsfl.com/wp-content/uploads/2023/10/KIASEDONA2016-P6151518-02.jpg,https://premiumcarsfl.com/listing/2016-kia-sedona-lx-4dr-mini-van/?store=xpremium
Used,123,xpremium,in_store:premium,HONDA,ACCORD,2020,Gray,64938,18995,1HGCV1F10LA102080,https://premiumcarsfl.com/wp-content/uploads/2023/10/HONDAACCORD-2020-P102080-02.jpg,https://premiumcarsfl.com/listing/2020-honda-accord-lx-4dr-sedan/?store=xpremium
Used,123,xpremium,in_store:premium,NISSAN,ROGUE,2013,Silver,115198,5900,JN8AS5MTXDW541791,https://premiumcarsfl.com/wp-content/uploads/2023/10/2013NissanRogue-P541791-2702.jpg,https://premiumcarsfl.com/listing/2013-nissan-rogue-s-sport-utility-4d/?store=xpremium
Used,123,xpremium,in_store:premium,NISSAN,SENTRA,2021,Gray,33014,18900,3N1AB8CV4MY318013,https://premiumcarsfl.com/wp-content/uploads/2023/10/3N1AB8CV4MY318013-02.jpg,https://premiumcarsfl.com/listing/2021-nissan-sentra-sv-4dr-sedan/?store=xpremium
Used,123,xpremium,in_store:premium,NISSAN,PATHFINDER,2015,Blue,96911,10995,5N1AR2MM7FC710602,https://premiumcarsfl.com/wp-content/uploads/2023/10/5N1AR2MM7FC710602-02.jpg,https://premiumcarsfl.com/listing/2015-nissan-pathfinder-s-4dr-suv/?store=xpremium
Used,123,xpremium,in_store:premium,FORD,F150,2017,White,81889,16900,1FTMF1C82HKC27536,https://premiumcarsfl.com/wp-content/uploads/2023/10/IFTMFICA2HKC27536-02-1.jpg,https://premiumcarsfl.com/listing/2017-ford-f-150-xl-4x2-2dr-regular-cab-8-ft-lb/?store=xpremium
Used,123,xpremium,in_store:premium,FORD,FUSION,2018,Black,108383,12900,3FA6P0D93JR155177,https://premiumcarsfl.com/wp-content/uploads/2023/10/3FA6P0D93JR155177-02.jpg,https://premiumcarsfl.com/listing/8995/?store=xpremium
Used,123,xpremium,in_store:premium,AUDI,"GRAN CARAVAN",2018,White,112306,10900,2C4RDGEG1JR240966,https://premiumcarsfl.com/wp-content/uploads/2023/10/2C4RDGEG1JR240966-02.jpg,https://premiumcarsfl.com/listing/2018-dodge-grand-caravan-gt-4dr-mini-van/?store=xpremium
Used,123,xpremium,in_store:premium,"MERCEDES BENZ",,2017,Silver,58114,19900,WDDSJ4EB2HN469067,https://premiumcarsfl.com/wp-content/uploads/2023/10/WDDSJ4EBZHN469067-02.jpg,https://premiumcarsfl.com/listing/2017-mercedes-benz-cla-250/?store=xpremium
Used,123,xpremium,in_store:premium,TOYOTA,RAV4,2017,Silver,68220,16900,2T3WFREV4HW391081,https://premiumcarsfl.com/wp-content/uploads/2023/10/2T3WFREV4HW391081-02.jpg,https://premiumcarsfl.com/listing/2017-toyota-rav4-xle-4dr-suv/?store=xpremium
Used,123,xpremium,in_store:premium,FORD,FUSION,2019,White,41119,16900,3FA6P0G78KR128326,https://premiumcarsfl.com/wp-content/uploads/2023/10/3FAGP0G78KR128326-04.jpg,https://premiumcarsfl.com/listing/2019-ford-fusion-s-4dr-sedan/?store=xpremium
Used,123,xpremium,in_store:premium,NISSAN,KICKS,2021,White,50200,17900,3N1CP5DV7ML489536,https://premiumcarsfl.com/wp-content/uploads/2023/10/3N1CP5DV7ML489536-02.jpg,https://premiumcarsfl.com/listing/2021-nissan-kicks-sr-4dr-crossover/?store=xpremium
Used,123,xpremium,in_store:premium,HONDA,ACCORD,2018,Silver,148978,13900,1HGCV1F34JA178626,https://premiumcarsfl.com/wp-content/uploads/2023/10/1HGCV1F34JA178626-03.jpg,https://premiumcarsfl.com/listing/2018-honda-accord-sport-4dr-sedan/?store=xpremium
Used,123,xpremium,in_store:premium,NISSAN,VERSA,2020,Black,67003,12900,3N1CN8DV0LL914522,https://premiumcarsfl.com/wp-content/uploads/2023/10/3N1CN8DV0LL914522-02.jpg,https://premiumcarsfl.com/listing/2020-nissan-versa-s-4dr-sedan-cvt-2/?store=xpremium
